password,has lowercase,has uppercase,has special character,length,strength
'2O*M?)4>Nyq@,True,True,True,13,2
"5+~da1t,C2qi_",True,True,True,13,2
"%,eHSLgAM",True,True,True,9,2
S3t:@_,True,True,True,6,1
D\4;E#UwM,True,True,True,9,2
hMVZ3xc45s\;%DF,True,True,True,15,2
b\PS5j2,True,True,True,7,1
`wC<uLWlx9YIS,True,True,True,13,2
n&vy(G#LQH1#[oRA,True,True,True,16,2
dRno''S,True,True,True,7,1
"Aq""XpZi",True,True,True,7,1
$G>u]A,True,True,True,6,1
N'N@V)k1||,True,True,True,10,2
oC18J\kL!UD}I,True,True,True,13,2
XjL0v,True,True,False,5,0
)pk~}&Hr&:%!<T,True,True,True,14,2
3C3/S?gX>T,True,True,True,10,2
gkXh\(9!?_M)Wr,True,True,True,14,2
MqMU6-]\Az,True,True,True,10,2
m4<{5OS.M@Rwd,True,True,True,13,2
sJNE{<]a2jyZ,True,True,True,12,2
"}M~<""_",False,True,True,6,1
l^RK1k},True,True,True,7,1
iq6MIg;bM9t,True,True,True,11,2
uax62[fb{Z39mAN,True,True,True,15,2
V=9jN0B6RH,True,True,True,10,2
P>3OS55%D{,False,True,True,10,1
"o{oiH""U",True,True,True,7,1
}R&^tBbHr>P!\&6,True,True,True,15,2
"|""h)f<J",True,True,True,7,1
uCO/:Xx7rEX),True,True,True,12,2
":nU?uWyt)""",True,True,True,10,2
|9C}l%,True,True,True,6,1
X5{,False,True,True,3,0
(q4'le',True,False,True,7,1
P-rn6)G~ds>h++,True,True,True,14,2
p/v.F/(,True,True,True,7,1
"Yu/@K_R@2""HA",True,True,True,12,2
bVJ]@^y+A,True,True,True,9,2
"{N5*x,A%B[",True,True,True,10,2
UrN72Ih`j,True,True,True,9,2
-I{,False,True,True,3,0
jk[a7d<y,True,False,True,8,1
"|,A",False,True,True,3,0
kR1:'HFqRv],True,True,True,11,2
tm}s,True,False,True,4,0
"xj!&f$nU:.""Yy~!@",True,True,True,16,2
rkR#H`/vGJ|/;,True,True,True,13,2
.Bkd#j,True,True,True,6,1
"yN`TK0"";.",True,True,True,9,2
1%]}MGK,False,True,True,7,1
8q34JG^lN,True,True,True,9,2
Z1qW,True,True,False,4,0
")EM~4Xk-rt""Up",True,True,True,13,2
_MB#Ihljt0,True,True,True,10,2
%#qQtoR!m`\X8H09,True,True,True,16,2
X_h~AMR_4s-0,True,True,True,12,2
2)\`gh^&\%&4iWeT,True,True,True,16,2
!BDR-\;0k,True,True,True,9,2
Q9}W=>~2e{4pN~,True,True,True,14,2
ml9S(t,True,True,True,6,1
",&pfGfWFN",True,True,True,9,2
&'?i'MbPx\R,True,True,True,11,2
S27I6Tf#S,True,True,True,9,2
`GM0Y!8z|\tB.JC,True,True,True,15,2
>z}R&'<a,True,True,True,8,2
sXgL\#!fP*PLaHf,True,True,True,15,2
r>I,True,True,True,3,0
'iaya.1N;0,True,True,True,10,2
Thc+y:.BL,True,True,True,9,2
z~q{+4o;.(;tBI6,True,True,True,15,2
]U2ZV6koQ,True,True,True,9,2
HFd,True,True,False,3,0
5lmLJ_~Uro2#d,True,True,True,13,2
iqXJcGlv;HmB)E,True,True,True,14,2
@l|],True,False,True,4,0
"6lAV""Rp9;0v5",True,True,True,12,2
0?9I,False,True,True,4,0
bNFn'j,True,True,True,6,1
#*<rLf$%$5&11zZ|,True,True,True,16,2
J2#1a,True,True,True,5,0
M3R6jmU}SFKv,True,True,True,12,2
$15XR\n,True,True,True,7,1
Fv>ThaSAR='pI,True,True,True,13,2
BN|hH,True,True,True,5,0
8IGhKvNnW)/,True,True,True,11,2
DEYleJ-_zN,True,True,True,10,2
"b'I\rp}1va""",True,True,True,11,2
x%bg2y,True,False,True,6,1
"W:+mO)""#b+?*9lj'",True,True,True,16,2
QH],False,True,True,3,0
"%JcU""HF&*",True,True,True,9,2
"\M,.4E",False,True,True,6,1
"28J*KM.b""",True,True,True,9,2
&AwTKLxi^*Qy\fpK,True,True,True,16,2
"|yy@""UUXd6k",True,True,True,11,2
G0$6>NLk`6@)fU,True,True,True,14,2
u(*t'#ZO+S0,True,True,True,11,2
K]xr(Ch$d,True,True,True,9,2
%HQJ%&T/q_CmZKF,True,True,True,15,2
mfWLo#$ky^eC,True,True,True,12,2
UAbw{UVW,True,True,True,8,2
lt&760=RNR,True,True,True,10,2
$z?<F@I,True,True,True,7,1
wws*,True,False,True,4,0
L-1,False,True,True,3,0
qB^(SXWYo4f',True,True,True,12,2
yLne{FZ[/+H,True,True,True,11,2
hODF6\x:e,True,True,True,9,2
<Oj,True,True,True,3,0
pxL'',True,True,True,5,0
"iOVn?&It""~4Woi",True,True,True,14,2
xtm&Pf,True,True,True,6,1
"P6(,C_2",False,True,True,7,1
rcI\xP,True,True,True,6,1
zbHD[>dzGOz-,True,True,True,12,2
"f=e;d,1s*v@Y",True,True,True,12,2
"aN=""",True,True,True,4,0
",a*DbKm=o,",True,True,True,10,2
"""\^v",True,False,True,4,0
wF#2qqy/|2720\Pb,True,True,True,16,2
!(4,False,False,True,3,0
_.'fZGZ,True,True,True,7,1
")""{HY`mMWyD@]h",True,True,True,14,2
"^Z(pp^io#v[ET"",",True,True,True,15,2
cphAq}i,True,True,True,7,1
"cI`H#:8,",True,True,True,8,2
WXsaM,True,True,False,5,0
pR{$,True,True,True,4,0
g(s}yCp.fv4%(,True,True,True,13,2
gNT\P,True,True,True,5,0
ix$'7b~k[xMN,True,True,True,12,2
"ra5U""a25&^2"")",True,True,True,13,2
$}hf:<%LwO,True,True,True,10,2
yLj/Ig>Pu4,True,True,True,10,2
46vkUwIH.u,True,True,True,10,2
jRI}.;@Q+T(,True,True,True,11,2
@d:(*AOx,True,True,True,8,2
UTQ3[bE<6nNNT],True,True,True,14,2
tuBhLW,True,True,False,6,1
"O9e""9s/lAK\ag1us",True,True,True,16,2
kW/AW[KA@Gtyqut,True,True,True,15,2
'{[V,False,True,True,4,0
u68V1QtU,True,True,False,8,1
\N~d8O/y,True,True,True,8,2
"z,--wB8p6",True,True,True,9,2
.wlIF+pu}[v:,True,True,True,12,2
NW6xRz]N??<,True,True,True,11,2
"""+,`=Ox",True,True,True,7,1
[8(?J,False,True,True,5,0
jn%|[N;L]b,True,True,True,10,2
-zIj1(<a,True,True,True,8,2
"Y,KBd,EBYy3>Bt",True,True,True,14,2
3`9PbU]/9,True,True,True,9,2
d;K<tq(=h~2uqX,True,True,True,14,2
g_9vzuwd$T.,True,True,True,11,2
g|KIKq,True,True,True,6,1
xh(w')0o,True,False,True,8,1
d`Q|{y%/Ih4WX_?Y,True,True,True,16,2
[zk?/_O,True,True,True,7,1
$n|UDpj%<l,True,True,True,10,2
TU3FW_h,True,True,True,7,1
"\_3a)N,+7E*oq",True,True,True,13,2
".<fZ""8FNxd_z",True,True,True,12,2
}]}ogUC,True,True,True,7,1
n/F,True,True,True,3,0
u23>QJ,True,True,True,6,1
Hp\R0]WdCtj3.d|=,True,True,True,16,2
dfmI1X_,True,True,True,7,1
*>$H(CXgI8(RoUVw,True,True,True,16,2
F|4'<9ZFa,True,True,True,9,2
CT#NsI/xw,True,True,True,9,2
yhNy}m}4_}V,True,True,True,11,2
"X8;.,kXqAC[A",True,True,True,12,2
yMP4_e8hW,True,True,True,9,2
"`%uf,D~In#x""",True,True,True,12,2
ixBr7,True,True,False,5,0
ox`aGyW[(6G&iJ,True,True,True,14,2
NRkK?B,True,True,True,6,1
qz2,True,False,False,3,0
SMa=v)|5Hy(Xf~%Q,True,True,True,16,2
.M6a??x\?WX,True,True,True,11,2
3kE.,True,True,True,4,0
3zf|xYa#+,True,True,True,9,2
.ms4S_yQ;yScfI(U,True,True,True,16,2
gid-K&L!fa*,True,True,True,11,2
>:9G,False,True,True,4,0
>8`Iad)dv~aC21,True,True,True,14,2
-.HAwV::T,True,True,True,9,2
qqBB<iM,True,True,True,7,1
8+){S,False,True,True,5,0
(+@(`,False,False,True,5,0
p~iD](00M-G/>,True,True,True,13,2
"^BNlE""",True,True,True,6,1
?)Xqe,True,True,True,5,0
"JAkm""|j",True,True,True,7,1
]gVB4-?&0A,True,True,True,10,2
"6,0B",False,True,True,4,0
0j}^Mk4c82d0|o!,True,True,True,15,2
$].nJY=fuqz9,True,True,True,12,2
H:sNZ,True,True,True,5,0
mN8*k9Pz`,True,True,True,9,2
WOm@`F3ZveB8.,True,True,True,13,2
0;Ht=m,True,True,True,6,1
T&iI,True,True,True,4,0
"_(59N:?#o,",True,True,True,10,2
%GaC},True,True,True,5,0
Sz_yotkDR-,True,True,True,10,2
64N(hTho,True,True,True,8,2
87!T.T5/dqA,True,True,True,11,2
!P7}jl$,True,True,True,7,1
b>KK,True,True,True,4,0
wR*UQ3!7A_i7/1,True,True,True,14,2
o`4/j@td]uq1[RA,True,True,True,15,2
7t`<NPf'LKZt011Y,True,True,True,16,2
AzjI,True,True,False,4,0
}r+>InDh83|8x`W7,True,True,True,16,2
kchNyJ^iK>',True,True,True,11,2
Xt`HxL.,True,True,True,7,1
"muhWokL*|""JLB~e",True,True,True,15,2
:\a$8NE`|g[on,True,True,True,13,2
=+\A`qsNt,True,True,True,9,2
",86v3H!O{0R^]",True,True,True,13,2
WHNux,True,True,False,5,0
:$-a,True,False,True,4,0
"MchBs""]1LJ>rcptE",True,True,True,16,2
@5aJ+,True,True,True,5,0
hHn7V@!T,True,True,True,8,2
aumxUfx:Q#.kt][<,True,True,True,16,2
TRpe,True,True,False,4,0
aTBD5.j<,True,True,True,8,2
j0%I,True,True,True,4,0
cDms7LNo,True,True,False,8,1
M:#<S(:HwP6t$,True,True,True,13,2
eJK>F(c,True,True,True,7,1
We-+J}kbCa-Th,True,True,True,13,2
6{}_h/s!uur,True,False,True,11,1
ptyMKKQTi0zT6,True,True,False,13,1
VY*7&,False,True,True,5,0
/tHAQ[Y:u,True,True,True,9,2
36(;G-eExdy0WH,True,True,True,14,2
;~j@r^]F],True,True,True,9,2
&_z]vW#.$,True,True,True,9,2
Qp[_Mkx%`{,True,True,True,10,2
5Ns,True,True,False,3,0
"""]yRypyk6M",True,True,True,10,2
(n+J[@^uB\1,True,True,True,11,2
[=++r~NnE_uNi,True,True,True,13,2
tC\,True,True,True,3,0
"L6/$lMXfoXI""^E!",True,True,True,15,2
"""$A,JtZ|3;)yXrhm",True,True,True,16,2
ZUiwMrYA0/umi-G,True,True,True,15,2
J:sW.6bmrb,True,True,True,10,2
[E>,False,True,True,3,0
MOfSj,True,True,False,5,0
S3SA/a,True,True,True,6,1
7m']FZ&,True,True,True,7,1
kT1>*f-g[g?)Y,True,True,True,13,2
"/"".7rF#/(7NVW",True,True,True,13,2
8Y.,False,True,True,3,0
Yrx^:c8W4&,True,True,True,10,2
.Wv1^0n<Ks,True,True,True,10,2
Q~Hb>5-&>y,True,True,True,10,2
";xml||,~76JVME",True,True,True,14,2
"UP4],|5_!5H",False,True,True,11,1
"}-M8gC""3B",True,True,True,9,2
xX![z%yV^;O,True,True,True,11,2
lM.age\LX2IAwP,True,True,True,14,2
:1PO$)~G@n[,True,True,True,11,2
t-),True,False,True,3,0
D[byW4,True,True,True,6,1
Y#Kj3S,True,True,True,6,1
/s[%,True,False,True,4,0
"U""[fhShO!|a",True,True,True,11,2
n|Hl,True,True,True,4,0
T3@p3jd`RXOvCX%Z,True,True,True,16,2
^NFh:,True,True,True,5,0
M}Z5FP:ZaC8i8X_&,True,True,True,16,2
Q)V&BS]xXz^q9Me,True,True,True,15,2
"U#IU[:P;,^udHW,$",True,True,True,16,2
^\4Lw<bT5eq,True,True,True,11,2
"B<~RL#zd""TG>j*",True,True,True,14,2
;Y$GX,False,True,True,5,0
b'JUg,True,True,True,5,0
"""hV6g6",True,True,True,6,1
/0G,False,True,True,3,0
dU8x@GM,True,True,True,7,1
E&iQJee,True,True,True,7,1
OQ[io:]S,True,True,True,8,2
x+1HnH,True,True,True,6,1
"F,fpje?0=",True,True,True,9,2
6I-\#UF\%H(,False,True,True,11,1
"P-dB,",True,True,True,5,0
yGnM)iI@'Z=W),True,True,True,13,2
"d=K#`8HC;m""3**",True,True,True,14,2
"t,WkS'g@z",True,True,True,9,2
%|uI3ub#dwR\+W`,True,True,True,15,2
%t(~,True,False,True,4,0
5nsuG@Ek,True,True,True,8,2
/]~r:uvCt'Yt,True,True,True,12,2
H5'ED},False,True,True,6,1
uV@+k^~TV,True,True,True,9,2
iQG;{Y//,True,True,True,8,2
@2TnEVD^M['uP@,True,True,True,14,2
kEebhdBUBjq_$,True,True,True,13,2
F3Hdd-@G,True,True,True,8,2
5P?[)%@o2M_-j,True,True,True,13,2
rLdR.Skwl71z,True,True,True,12,2
"=K""U",False,True,True,4,0
V%g=m>,True,True,True,6,1
(Dkf&-p2eh]_k,True,True,True,13,2
"#78,Q4*n$)Y])`.H",True,True,True,16,2
CxM@C:8xDJ,True,True,True,10,2
BA4'),False,True,True,5,0
1dF0H<|4\G~2R,True,True,True,13,2
LLVt,True,True,False,4,0
eK<j}P:z5H~V{{b8,True,True,True,16,2
"E,1@h-Te",True,True,True,8,2
(<)q9Bs_h`,True,True,True,10,2
*wr|g:IVhM*Zt,True,True,True,13,2
vnN,True,True,False,3,0
"h2TD9jBDrEu,{?RE",True,True,True,16,2
iuF~cziRKb3<-8Oj,True,True,True,16,2
zcO,True,True,False,3,0
d.SkwVN^f?28Esdu,True,True,True,16,2
b`mL,True,True,True,4,0
>tld!?[Qf},True,True,True,10,2
kGk?,True,True,True,4,0
8E*IEwo>8iNk+),True,True,True,14,2
Na(0dU]=BTD\,True,True,True,12,2
"o4.ED=0L,PS",True,True,True,11,2
y-rhjb&,True,False,True,7,1
3+id=v#F,True,True,True,8,2
[6$YeId,True,True,True,7,1
7Mj(0>SrZ7'dmSQ#,True,True,True,16,2
n7d3-#Zo#9$j\1QC,True,True,True,16,2
Q?F10*[B{qQ,True,True,True,11,2
|@7Qh{]&=,True,True,True,9,2
"os,.D^",True,True,True,6,1
#5.@SZr,True,True,True,7,1
lR.Ee'FEzI|b,True,True,True,12,2
">xf,",True,False,True,4,0
VBE,False,True,False,3,0
IBx9=kk7zW=,True,True,True,11,2
tFUj,True,True,False,4,0
&O;g(Ux!:4,True,True,True,10,2
rbW/(~VOH,True,True,True,9,2
JMRSV*7SLmtbj1)S,True,True,True,16,2
i[U>?jP,True,True,True,7,1
-U<Aoo%dv>\gx,True,True,True,13,2
>Ruxdn,True,True,True,6,1
"9a>.,qU+&T*5+",True,True,True,13,2
kJU,True,True,False,3,0
Wj0tBO1D,True,True,False,8,1
%NJR';SN*f8o!<y,True,True,True,15,2
tSwe*$WGIos^=V|@,True,True,True,16,2
@+k*Z\$_!8r[^v0S,True,True,True,16,2
&z9$hisiFY%YCnF,True,True,True,15,2
|{yt@ifZ8xAE,True,True,True,12,2
85v3K#$Mfs[i,True,True,True,12,2
"|nB""oRChEWmY7s",True,True,True,14,2
@fNtKtdHs^E\I,True,True,True,13,2
NG~3S,False,True,True,5,0
?rt,True,False,True,3,0
"""WUKrN8J-e,#m",True,True,True,13,2
\Y$c.UK8{'H,True,True,True,11,2
uf~6uEl}DLPWE,True,True,True,13,2
"N`=d""9Bnx",True,True,True,9,2
c.v}-C7gg,True,True,True,9,2
!@\x,True,False,True,4,0
6MKf}+MS#^T[5D,True,True,True,14,2
'M$x|,True,True,True,5,0
?$J%A/jN#v'e,True,True,True,12,2
e$?3//k{?,True,False,True,9,1
+kK^3{gk;`(|btu4,True,True,True,16,2
5cM&dC,True,True,True,6,1
z{EP7<}$k9qj,True,True,True,12,2
(r_A,True,True,True,4,0
+vK4)[Ld,True,True,True,8,2
*+Tdl=],True,True,True,7,1
OA.d%W1a,True,True,True,8,2
";2,u'46""",True,False,True,8,1
TmYK%ndb}B{C,True,True,True,12,2
@R*L%\LeY,True,True,True,9,2
!dP;*(SMr(F,True,True,True,11,2
"P""a/3rDD/<^4H9;U",True,True,True,16,2
*T#iM[^O6nikArAG,True,True,True,16,2
"""E""",False,True,True,3,0
4#m_@jV6+r[&,True,True,True,12,2
"""3]k",True,False,True,4,0
"^KONNoQX,",True,True,True,9,2
O]3<}}G,False,True,True,7,1
'6$yHaUN}_t'g/,True,True,True,14,2
&dXmUgxHzg,True,True,True,10,2
'51,False,False,True,3,0
c8A`nOhWX,True,True,True,9,2
QCg,True,True,False,3,0
+%g,True,False,True,3,0
+u\3K/|[MST,True,True,True,11,2
{#Q7EtWy,True,True,True,8,2
x5'TeCh>ME,True,True,True,10,2
82}9}\=leLi,True,True,True,11,2
lx}:'}YmJ&Lb\vk,True,True,True,15,2
".o,=XI}It{@t9F",True,True,True,14,2
Y}][jk,True,True,True,6,1
"j6jK,EO.yRt+%#",True,True,True,14,2
oMSi8'i3#mY]M:,True,True,True,14,2
B[9}n,True,True,True,5,0
"Q{J3G/""kw",True,True,True,9,2
"OP:lg&B/`""OK$v",True,True,True,14,2
dE{skF]wt,True,True,True,9,2
aE={1>jWbV},True,True,True,11,2
o0^1x)Tey/,True,True,True,10,2
~qQl\wo!H(,True,True,True,10,2
`AzpyHBDwz}U2,True,True,True,13,2
ro(s)G},True,True,True,7,1
"""Gca2h",True,True,True,6,1
"\po4,u&_}a{8",True,False,True,12,1
}'E\)57zHScTTM7,True,True,True,15,2
..>}dYj},True,True,True,8,2
"x)u;HB`,a4P[yzER",True,True,True,16,2
(cUZgczMUfp=3,True,True,True,13,2
"I,""|b5",True,True,True,6,1
VVSPYFs,True,True,False,7,1
TV%[z/Cedsmk`x,True,True,True,14,2
L|=wi*74,True,True,True,8,2
B1?8(a<JhA9n*%[:,True,True,True,16,2
%Z8E(^/BX,False,True,True,9,1
`J*i&&,True,True,True,6,1
'41D{jG,True,True,True,7,1
|z4,True,False,True,3,0
=12$APJj',True,True,True,9,2
.Nbc,True,True,True,4,0
bNX_z#lgB,True,True,True,9,2
OQ{TItCw,True,True,True,8,2
>fVRx3(PK#sTv&,True,True,True,14,2
3/iGR16J^,True,True,True,9,2
"l!?Mf++~(=p-G""",True,True,True,14,2
5+Sm~(4cv,True,True,True,9,2
",}qbdv0[Fm",True,True,True,10,2
%4i',True,False,True,4,0
R]*rs%@',True,True,True,8,2
kQ+,True,True,True,3,0
<A57Et+/.$@-,True,True,True,12,2
W7-!c<[&MqM<,True,True,True,12,2
~fb:l84S,True,True,True,8,2
|VgOC,True,True,True,5,0
Z)`O?{K=~OFZ,False,True,True,12,1
|K#s#o'|W,True,True,True,9,2
"&?xih`""_7",True,False,True,9,1
'=*zLZL^^YjR*btn,True,True,True,16,2
`OGJ>>0jz,True,True,True,9,2
"[F@,""BA}U",False,True,True,9,1
&F%.WxQ%G0.]Pm.H,True,True,True,16,2
IFzte{J;,True,True,True,8,2
^Ocyap~.T-n3dV,True,True,True,14,2
VAT=}|Ff:s,True,True,True,10,2
"BEt2(6.}bH\,",True,True,True,12,2
w:Bz2$2=[}p+$|Dn,True,True,True,16,2
y]vOB`n_lYVznHtw,True,True,True,16,2
6-%=#FJ`=C5tBk]@,True,True,True,16,2
@]A\Y8nkH}_Npbz,True,True,True,15,2
"Dz6,O8#D",True,True,True,8,2
{/-#,False,False,True,4,0
4-6:-G,False,True,True,6,1
z9J/92yw',True,True,True,9,2
"+w;]jlMR#{,?_&",True,True,True,14,2
]0r-|4|,True,False,True,7,1
]PTJ;0J*_2j_q,True,True,True,13,2
7~ZBpVpavj>m,True,True,True,12,2
)X~_lR,True,True,True,6,1
j+t6,True,False,True,4,0
W>Tka%#Vq,True,True,True,9,2
"D~0,~9UQ\s~HH",True,True,True,13,2
"m,t",True,False,True,3,0
#GncGFFSG,True,True,True,9,2
"_~U,",False,True,True,4,0
p;IC'66-S)=(`Q,True,True,True,14,2
`bf*,True,False,True,4,0
H%+sP,True,True,True,5,0
($Z+yTo,True,True,True,7,1
8uW)&?.4r._NG,True,True,True,13,2
]Wh1CqG]pc^,True,True,True,11,2
q](_5q+V{Ixh,True,True,True,12,2
F[wr193\,True,True,True,8,2
KC:3X?,False,True,True,6,1
Vc${M,True,True,True,5,0
<aYsEogZ:-|D',True,True,True,13,2
7Wf_>zo[-[u,True,True,True,11,2
"a8%pny,Y0?|STB",True,True,True,14,2
5pzb,True,False,False,4,0
+_%a#,True,False,True,5,0
-oO<E[IN]hd,True,True,True,11,2
d7.J#?t~6*K}[,True,True,True,13,2
+U@r:$T47V,True,True,True,10,2
9qlI!svcnPZ9r,True,True,True,13,2
/*{-BEsPL,True,True,True,9,2
|9$7ndCXv_s@Y(K[,True,True,True,16,2
dp''dJ~.*2)%,True,True,True,12,2
{O0EsA(H4kUWA{,True,True,True,14,2
CZL24VUF,False,True,False,8,1
}hLFY3%vRD3!,True,True,True,12,2
j9+J$ioW47tQdwhz,True,True,True,16,2
QPHs]r>,True,True,True,7,1
/6h@.;jKrJ,True,True,True,10,2
"f""HFT",True,True,True,5,0
[nmmEoPHebu>_Ap,True,True,True,15,2
"FR>""L7;-b>;.Mh",True,True,True,14,2
I@J,False,True,True,3,0
X:nR,True,True,True,4,0
J:rp,True,True,True,4,0
2<1nCM5mN-A;D<,True,True,True,14,2
:?EULCnDN9/px{/,True,True,True,15,2
I9@,False,True,True,3,0
"[-""}yJ>1A7#",True,True,True,11,2
"DsNB.DaY,|6C_|V",True,True,True,15,2
"0ZpQxMx9.,-=",True,True,True,12,2
aaoTjN~0<,True,True,True,9,2
Ao:sG{,True,True,True,6,1
"+d}qg~S=.Nlj+,",True,True,True,14,2
!GfdM!F+O,True,True,True,9,2
x;#a..?sKwV.XjG,True,True,True,15,2
J/qEj,True,True,True,5,0
"$x""rO1?",True,True,True,7,1
<4w,True,False,True,3,0
G_JXYwYf~U,True,True,True,10,2
"~)6nF,;2@8d>wp*",True,True,True,15,2
Zyo79+|R|,True,True,True,9,2
"$?Bv&""Y3Y",True,True,True,9,2
")Yzj*:*,(Cu",True,True,True,11,2
"|8(yp<,r[!rX]",True,True,True,13,2
IK{Avp,True,True,True,6,1
eO4$],True,True,True,5,0
mQ@A?((/MH,True,True,True,10,2
Vnb[TGE[v]7MK,True,True,True,13,2
PnKp=F;,True,True,True,7,1
$6}Q>[,False,True,True,6,1
*)~r('MiE,True,True,True,9,2
Ze4,True,True,False,3,0
%zI%#0,True,True,True,6,1
zVUh9Wyuj,True,True,False,9,1
<xh~i8R,True,True,True,7,1
Bg\:,True,True,True,4,0
'uZjuH8'a{fM,True,True,True,12,2
<Syb!/},True,True,True,7,1
":6-EQf;D""ZG<^d",True,True,True,14,2
i~BZZb,True,True,True,6,1
=V@=C.z{B\,True,True,True,10,2
/cD2@1)Ze*@,True,True,True,11,2
y_y,True,False,True,3,0
mF2o1p-x=?kd,True,True,True,12,2
mXosMq~0,True,True,True,8,2
y3~Qcj,True,True,True,6,1
C'D,False,True,True,3,0
|^0R,False,True,True,4,0
Gdy;[Tce,True,True,True,8,2
M$WQ:GJ>MZo]5s{|,True,True,True,16,2
>[ot7vNwnqC,True,True,True,11,2
WF9,False,True,False,3,0
.~P^q>_,True,True,True,7,1
wj9-i.BVIB,True,True,True,10,2
C&VB+6{7:rufX,True,True,True,13,2
[WP4HIT`@wTG!,True,True,True,13,2
2xBku8wH,True,True,False,8,1
"O,|;",False,True,True,4,0
SG.{<,False,True,True,5,0
loBJ(OX,True,True,True,7,1
xanba?eL+ZeJ}a[,True,True,True,15,2
E4T,False,True,False,3,0
"cd*gQ-""",True,True,True,7,1
SLBz8_.>n?G&0;,True,True,True,14,2
Usg%,True,True,True,4,0
38u]YnR'G?-=s,True,True,True,13,2
4.mX%sj+c>6GN?i,True,True,True,15,2
S+y4I$xZ<,True,True,True,9,2
937z.C,True,True,True,6,1
PS22JQ?n-{,True,True,True,10,2
QLo$$dAyS7@e_*,True,True,True,14,2
